,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.010771751403808594,0.00039899370226528265,0.0032567977905273438,0.00038783051275991345,4,10,0.1,"{'max_depth': 4, 'n_estimators': 10, 'subsample': 0.1}",0.7314814814814815,0.7592592592592593,0.822429906542056,0.8411214953271028,0.7289719626168224,0.7766528210453444,0.04662231588049145,74
1,0.01077442169189453,0.00040026164944165525,0.003191709518432617,0.0003989936167850989,4,10,0.2,"{'max_depth': 4, 'n_estimators': 10, 'subsample': 0.2}",0.75,0.7685185185185185,0.8504672897196262,0.7850467289719626,0.719626168224299,0.7747317410868814,0.04365583492308478,93
2,0.010970783233642579,4.1019083342755444e-07,0.0035900592803955076,0.0004884803587669786,4,10,0.3,"{'max_depth': 4, 'n_estimators': 10, 'subsample': 0.3}",0.7222222222222222,0.8055555555555556,0.8037383177570093,0.8037383177570093,0.719626168224299,0.770976116303219,0.04088085288487105,120
3,0.011569499969482422,0.0004890061656047995,0.0033903598785400392,0.00048818858392396183,4,10,0.4,"{'max_depth': 4, 'n_estimators': 10, 'subsample': 0.4}",0.7314814814814815,0.7962962962962963,0.8130841121495327,0.794392523364486,0.719626168224299,0.770976116303219,0.037839572661815646,120
4,0.01156926155090332,0.0004887139137589383,0.0033908367156982424,0.0004885776558898482,4,10,0.5,"{'max_depth': 4, 'n_estimators': 10, 'subsample': 0.5}",0.7222222222222222,0.7870370370370371,0.8037383177570093,0.8411214953271028,0.7570093457943925,0.7822256836275528,0.04047453090254347,28
5,0.012366962432861329,0.002326029387035423,0.0033908367156982424,0.000488577935117039,4,10,0.6,"{'max_depth': 4, 'n_estimators': 10, 'subsample': 0.6}",0.7222222222222222,0.7777777777777778,0.822429906542056,0.8037383177570093,0.7383177570093458,0.7728971962616822,0.03792670523958074,102
6,0.015068817138671874,0.00047521798839417797,0.0034785747528076174,0.00044668702645934657,4,20,0.1,"{'max_depth': 4, 'n_estimators': 20, 'subsample': 0.1}",0.75,0.8148148148148148,0.822429906542056,0.8411214953271028,0.719626168224299,0.7895984769816545,0.04654578660248935,2
7,0.015359640121459961,0.0004890063515931556,0.0035895347595214845,0.0004884417044859074,4,20,0.2,"{'max_depth': 4, 'n_estimators': 20, 'subsample': 0.2}",0.7685185185185185,0.7777777777777778,0.8130841121495327,0.822429906542056,0.7476635514018691,0.7858947732779509,0.0279410890355131,13
8,0.016058826446533205,0.00020270395267657547,0.0035902023315429687,0.0004885971595254055,4,20,0.3,"{'max_depth': 4, 'n_estimators': 20, 'subsample': 0.3}",0.7222222222222222,0.8333333333333334,0.822429906542056,0.822429906542056,0.7289719626168224,0.785877466251298,0.04942559567515839,14
9,0.01625790596008301,0.000595898506878308,0.0035904407501220702,0.0004884997731965918,4,20,0.4,"{'max_depth': 4, 'n_estimators': 20, 'subsample': 0.4}",0.75,0.8148148148148148,0.822429906542056,0.7757009345794392,0.7383177570093458,0.7802526825891312,0.03366879980493933,56
10,0.01655569076538086,0.0004885388231408646,0.003390979766845703,0.0004884608783971154,4,20,0.5,"{'max_depth': 4, 'n_estimators': 20, 'subsample': 0.5}",0.7314814814814815,0.7777777777777778,0.822429906542056,0.8411214953271028,0.719626168224299,0.7784873658705435,0.04801807643847903,60
11,0.01655545234680176,0.000488636201686934,0.0035906314849853517,0.0004884608551226126,4,20,0.6,"{'max_depth': 4, 'n_estimators': 20, 'subsample': 0.6}",0.7222222222222222,0.8148148148148148,0.8130841121495327,0.822429906542056,0.7383177570093458,0.7821737625475943,0.04279948958593762,30
12,0.019747304916381835,0.00039889819238283776,0.003390979766845703,0.0004886555540883141,4,30,0.1,"{'max_depth': 4, 'n_estimators': 30, 'subsample': 0.1}",0.7870370370370371,0.8055555555555556,0.8130841121495327,0.8130841121495327,0.7009345794392523,0.783939079266182,0.04258047032286283,27
13,0.01934819221496582,0.0004885777024277244,0.003789854049682617,0.0003988505656823479,4,30,0.2,"{'max_depth': 4, 'n_estimators': 30, 'subsample': 0.2}",0.7777777777777778,0.7777777777777778,0.794392523364486,0.7850467289719626,0.719626168224299,0.7709241952232606,0.026365276963752196,131
14,0.021143770217895506,0.0009773110616461676,0.003590250015258789,0.0004885388231408646,4,30,0.3,"{'max_depth': 4, 'n_estimators': 30, 'subsample': 0.3}",0.7314814814814815,0.8055555555555556,0.822429906542056,0.794392523364486,0.7289719626168224,0.7765662859120803,0.038883115600324196,82
15,0.02034621238708496,0.0004891616829672241,0.0029912948608398437,6.675720214843751e-07,4,30,0.4,"{'max_depth': 4, 'n_estimators': 30, 'subsample': 0.4}",0.7407407407407407,0.8333333333333334,0.794392523364486,0.7850467289719626,0.7289719626168224,0.776497057805469,0.03784403694964835,85
16,0.020947360992431642,7.691133557760601e-06,0.0035907268524169923,0.0004885387533284932,4,30,0.5,"{'max_depth': 4, 'n_estimators': 30, 'subsample': 0.5}",0.7314814814814815,0.7685185185185185,0.8130841121495327,0.8130841121495327,0.7289719626168224,0.7710280373831775,0.037084681589243315,113
17,0.020544910430908205,0.0004885388464116528,0.003496694564819336,0.00044579414878031663,4,30,0.6,"{'max_depth': 4, 'n_estimators': 30, 'subsample': 0.6}",0.75,0.7777777777777778,0.794392523364486,0.8037383177570093,0.7289719626168224,0.770976116303219,0.02782911764554811,120
